SpomPPI	ScerPPI	reportsInSpom	reportsInScer	ppiType
(('SPBC16G5.10',), ('SPBC26H8.10',))	(('YDL111C',), ('YOL021C',))	3	10	preserved
(('SPBC25D12.03c',), ('SPCC16A11.17',))	(('YBR202W',), ('YPR019W',))	6	17	preserved
(('SPCC736.15',), ('SPCC736.15',))	(('YPL004C',), ('YPL004C',))	Haiyuan	3	preserved
(('SPAC22F8.08',), ('SPBC776.04',))	(('YNL049C',), ('YPR181C',))	Haiyuan	9	preserved
(('SPAC6F12.15c',), ('SPAC6F12.15c',))	(('YKL022C',), ('YKL022C',))	2	4	preserved
(('SPBC56F2.07c',), ('SPBC56F2.07c',))	(('YLR397C',), ('YLR397C',))	2	2	preserved
(('SPAC18B11.07c',), ('SPBC1604.21c',))	(('YGL058W',), ('YKL210W',))	2	5	preserved
(('SPCC553.02',), ('SPCC553.02',))	(('YHR074W',), ('YHR074W',))	Haiyuan	4	preserved
(None, None)	(('YDR164C',), ('YPL232W',))	0	9	lost
(('SPBP4H10.21c',), None)	(('YDR489W',), ('YOL146W',))	0	11	lost
(None, None)	(('YOR210W',), ('YPR010C',))	0	3	lost
(None, None)	(('YKL021C',), ('YOR272W',))	0	2	lost
(None, None)	(('YHR208W',), ('YHR208W',))	0	2	lost
(None, None)	(('YHR143W-A',), ('YPR010C',))	0	3	lost
(('SPBC14C8.06',), None)	(('YBR234C',), ('YIL062C',))	0	4	lost
(None, None)	(('YIL033C',), ('YPL203W',))	0	14	lost
(None, None)	(('YDL166C',), ('YJL191W',))	0	2	lost
(None, None)	(('YER017C',), ('YMR089C',))	0	7	lost
(None, None)	(('YDR164C',), ('YMR183C',))	0	7	lost
(None, None)	(('YGR144W',), ('YGR144W',))	0	3	lost
(None, None)	(('YNR001C',), ('YNR001C',))	0	2	lost
(None, None)	(('YJL014W',), ('YJL111W',))	0	4	lost
(None, None)	(('YNL121C',), ('YNL121C',))	0	2	lost
(None, None)	(('YEL027W',), ('YHR026W',))	0	2	lost
(None, None)	(('YBR257W',), ('YHR062C',))	0	6	lost
(None, ('SPAC29A4.05',))	(('YAL029C',), ('YBR109C',))	0	2	lost
(None, None)	(('YER177W',), ('YER177W',))	0	2	lost
(None, None)	(('YBR221C',), ('YER178W',))	0	2	lost
(None, None)	(('YGL011C',), ('YOR157C',))	0	6	lost
(('SPBC725.13c',), None)	(('YJL072C',), ('YOL146W',))	0	5	lost
(None, None)	(('YGL130W',), ('YPL228W',))	0	16	lost
(None, None)	(('YGR192C',), ('YGR192C',))	0	2	lost
(('SPAC29A4.05',), None)	(('YBR109C',), ('YFR014C',))	0	5	lost
(None, None)	(('YOR204W',), ('YOR204W',))	0	3	lost
(None, None)	(('YGL187C',), ('YGL191W',))	0	3	lost
(None, None)	(('YFR044C',), ('YFR044C',))	0	6	lost
(None, ('SPBC106.16',))	(('YGR135W',), ('YOL038W',))	0	4	lost
(None, None)	(('YLR447C',), ('YOR270C',))	0	13	lost
(None, None)	(('YFR028C',), ('YFR028C',))	0	5	lost
(None, None)	(('YDL143W',), ('YDR212W',))	0	2	lost
(None, None)	(('YKR080W',), ('YKR080W',))	0	2	lost
(None, ('SPBC1773.07c',))	(('YGR218W',), ('YIL063C',))	0	4	lost
(None, None)	(('YCR092C',), ('YOL090W',))	0	8	lost
(None, None)	(('YJR133W',), ('YJR133W',))	0	2	lost
(('SPBC11B10.09',), None)	(('YBR160W',), ('YLR210W',))	0	4	lost
(None, None)	(('YBR006W',), ('YBR006W',))	0	3	lost
(None, None)	(('YJR072C',), ('YLR243W',))	0	2	lost
(('SPBC1289.11',), ('SPBC215.12',))	(None, ('YKL173W', 'YDR385W'))	2	0	lost
(None, None)	(('YBL003C',), ('YDR224C',))	0	6	lost
(None, None)	(('YGL253W',), ('YGL253W',))	0	2	lost
(None, None)	(('YMR300C',), ('YMR300C',))	0	3	lost
(None, None)	(('YBL002W',), ('YDR225W',))	0	5	lost
(None, None)	(('YNL290W',), ('YOL094C',))	0	5	lost
(None, None)	(('YCR020C-A',), ('YEL053C',))	0	3	lost
(None, None)	(('YLR044C',), ('YLR134W',))	0	2	lost
(None, None)	(('YGR261C',), ('YPL195W',))	0	5	lost
(None, None)	(('YGL048C',), ('YOR259C',))	0	6	lost
(None, None)	(('YBR061C',), ('YPL183C',))	0	4	lost
(('SPAC23G3.01',), None)	(('YOR151C',), ('YOR210W',))	0	4	lost
(None, None)	(('YER052C',), ('YER052C',))	0	2	lost
(('SPAC11H11.06',), None)	(('YDL029W',), ('YKL013C',))	0	9	lost
(None, None)	(('YBR010W',), ('YDR225W',))	0	10	lost
(None, None)	(('YIL074C',), ('YIL074C',))	0	4	lost
(None, None)	(('YIL033C',), ('YIL033C',))	0	4	lost
(('SPAC4A8.12c',), None)	(('YKL193C',), ('YPL179W',))	0	2	lost
(None, None)	(('YIL078W',), ('YIL078W',))	0	2	lost
(None, None)	(('YHR104W',), ('YHR104W',))	0	2	lost
(None, ('SPBP4H10.21c',))	(('YDR013W',), ('YDR489W',))	0	16	lost
(None, None)	(('YJL115W',), ('YNL031C',))	0	24	lost
(None, None)	(('YOR117W',), ('YOR259C',))	0	12	lost
(None, None)	(('YML010W',), ('YPR010C',))	0	3	lost
(('SPBC14C8.12',), None)	(('YOR224C',), ('YOR341W',))	0	5	lost
(None, None)	(('YJR102C',), ('YPL002C',))	0	8	lost
(None, None)	(('YHR216W',), ('YML056C',))	0	2	lost
(None, None)	(('YNL248C',), ('YPR010C',))	0	8	lost
(None, None)	(('YNL031C',), ('YNL031C',))	0	4	lost
(None, None)	(('YLR028C',), ('YMR120C',))	0	4	lost
(None, None)	(('YBL099W',), ('YJR121W',))	0	8	lost
(None, None)	(('YLR432W',), ('YML056C',))	0	7	lost
(None, None)	(('YBR088C',), ('YDL064W',))	0	5	lost
(None, None)	(('YGR135W',), ('YOR362C',))	0	6	lost
(None, None)	(('YJL034W',), ('YOL031C',))	0	6	lost
(None, None)	(('YBL039C',), ('YBL039C',))	0	2	lost
(('SPAC11E3.04c',), None)	(('YDR092W',), ('YGL087C',))	0	11	lost
(None, None)	(('YBR169C',), ('YLL024C',))	0	3	lost
(None, None)	(('YNL031C',), ('YOL012C',))	0	8	lost
(None, None)	(('YBR126C',), ('YBR126C',))	0	2	lost
(None, ('SPCC31H12.07', 'SPBC776.04'))	(('YLR268W',), ('YPR181C',))	0	3	lost
(('SPBC1539.08',), None)	(('YDL137W',), ('YDL192W',))	0	3	lost
(None, None)	(('YMR312W',), ('YPL101W',))	0	7	lost
(None, None)	(('YKR014C',), ('YOR370C',))	0	3	lost
(None, None)	(('YKL135C',), ('YPL259C',))	0	11	lost
(('SPBC115.01c',), None)	(('YGR095C',), ('YGR158C',))	0	6	lost
(None, None)	(('YLR258W',), ('YLR258W',))	0	6	lost
(None, None)	(('YBR009C',), ('YBR195C',))	0	2	lost
(None, None)	(('YBR222C',), ('YBR222C',))	0	5	lost
(None, None)	(('YBL003C',), ('YOL012C',))	0	6	lost
(None, None)	(('YDL154W',), ('YFL003C',))	0	2	lost
(None, None)	(('YBR167C',), ('YNL221C',))	0	8	lost
(None, None)	(('YNL248C',), ('YOR341W',))	0	8	lost
(None, None)	(('YBL045C',), ('YOR065W',))	0	6	lost
(None, ('SPBC9B6.05c',))	(('YJL124C',), ('YLR438C-A',))	0	14	lost
(None, None)	(('YJL125C',), ('YNL062C',))	0	11	lost
(None, None)	(('YJL115W',), ('YNL030W',))	0	9	lost
(None, None)	(('YER012W',), ('YER012W',))	0	3	lost
(None, None)	(('YDR321W',), ('YDR321W',))	0	3	lost
(None, ('SPBC1289.03c',))	(('YER009W',), ('YLR293C',))	0	2	lost
(None, None)	(('YNL107W',), ('YNL107W',))	0	2	lost
(None, None)	(('YER070W',), ('YER070W',))	0	8	lost
(None, None)	(('YDR062W',), ('YLR350W',))	0	5	lost
(None, None)	(('YDL160C',), ('YJL138C',))	0	4	lost
(None, None)	(('YMR139W',), ('YMR139W',))	0	2	lost
(None, None)	(('YDR212W',), ('YJL014W',))	0	5	lost
(None, None)	(('YGL115W',), ('YGL208W',))	0	9	lost
(None, None)	(('YDR390C',), ('YPR180W',))	0	6	lost
(None, None)	(('YFR015C',), ('YFR015C',))	0	3	lost
(None, None)	(('YFL017C',), ('YFL017C',))	0	2	lost
(None, None)	(('YBL080C',), ('YMR293C',))	0	2	lost
(None, None)	(('YEL013W',), ('YEL013W',))	0	3	lost
(('SPBC1289.03c',), None)	(('YLR293C',), ('YLR347C',))	0	16	lost
(None, None)	(('YNL064C',), ('YNL064C',))	0	4	lost
(None, None)	(('YDL229W',), ('YPL106C',))	0	10	lost
(None, None)	(('YBL003C',), ('YDR225W',))	0	4	lost
(None, None)	(('YNL037C',), ('YOR136W',))	0	11	lost
(None, None)	(('YHL018W',), ('YHL018W',))	0	2	lost
(None, None)	(('YJR068W',), ('YOR217W',))	0	6	lost
(('SPAC16E8.11c',), None)	(('YDR311W',), ('YKL028W',))	0	4	lost
(None, None)	(('YHR063C',), ('YHR063C',))	0	3	lost
(None, None)	(('YLR170C',), ('YPR029C',))	0	7	lost
(None, None)	(('YOL126C',), ('YOL126C',))	0	2	lost
(('SPAC9G1.11c',), None)	(('YHR107C',), ('YJR076C',))	0	22	lost
(None, None)	(('YNL290W',), ('YOR217W',))	0	2	lost
(None, ('SPCC1682.07',))	(('YER171W',), ('YLR005W',))	0	9	lost
(None, None)	(('YDR093W',), ('YNL323W',))	0	4	lost
(None, None)	(('YBL041W',), ('YPR103W',))	0	6	lost
(None, None)	(('YDL229W',), ('YNL209W',))	0	2	lost
(None, None)	(('YFL038C',), ('YOR370C',))	0	5	lost
(None, None)	(('YDR188W',), ('YJL014W',))	0	4	lost
(None, None)	(('YDL182W',), ('YDL182W',))	0	2	lost
(None, None)	(('YBR031W',), ('YDR161W',))	0	2	lost
(('SPAC1250.01',), None)	(('YIL126W',), ('YPR034W',))	0	7	lost
(None, None)	(('YDR097C',), ('YOL090W',))	0	33	lost
(None, None)	(('YBR009C',), ('YNL031C',))	0	13	lost
(None, None)	(('YBL003C',), ('YNL031C',))	0	5	lost
(None, None)	(('YDL090C',), ('YKL019W',))	0	5	lost
(None, ('SPBC16C6.07c',))	(('YGL048C',), ('YKL145W',))	0	13	lost
(None, None)	(('YDR390C',), ('YDR510W',))	0	2	lost
(('SPAC630.03',), None)	(('YJR065C',), ('YLR370C',))	0	6	lost
(None, None)	(('YDL040C',), ('YOR253W',))	0	2	lost
(None, None)	(('YJR068W',), ('YOL094C',))	0	7	lost
(None, None)	(('YDR190C',), ('YDR190C',))	0	2	lost
(None, None)	(('YDR225W',), ('YNL031C',))	0	5	lost
(('SPBC11B10.09',), None)	(('YBR160W',), ('YPR120C',))	0	18	lost
(('SPBC215.12',), None)	(('YDR385W',), ('YOR133W',))	0	2	lost
(None, ('SPAC22A12.12c',))	(('YNL232W',), ('YOL142W',))	0	11	lost
(None, None)	(('YDR099W',), ('YDR099W',))	0	4	lost
(None, ('SPBC1289.03c',))	(('YBR017C',), ('YLR293C',))	0	6	lost
(None, None)	(('YJL031C',), ('YPR176C',))	0	4	lost
(None, None)	(('YPR080W',), ('YPR080W',))	0	2	lost
(None, None)	(('YJL148W',), ('YNL248C',))	0	6	lost
(None, None)	(('YKL182W',), ('YPL231W',))	0	5	lost
(None, None)	(('YDR477W',), ('YDR477W',))	0	4	lost
(None, None)	(('YNL104C',), ('YOR108W',))	0	5	lost
(None, None)	(('YGL091C',), ('YIL003W',))	0	5	lost
(None, None)	(('YGL048C',), ('YOR117W',))	0	5	lost
(None, None)	(('YER081W',), ('YIL074C',))	0	7	lost
(None, None)	(('YOR116C',), ('YPR110C',))	0	7	lost
(None, None)	(('YBL045C',), ('YDR529C',))	0	2	lost
(('SPBC32H8.12c',), None)	(('YFL039C',), ('YLR085C',))	0	2	lost
(None, None)	(('YIL003W',), ('YIL003W',))	0	2	lost
(None, None)	(('YPL131W',), ('YPR102C',))	0	2	lost
(None, None)	(('YDR013W',), ('YOL146W',))	0	4	lost
(None, None)	(('YGR254W',), ('YGR254W',))	0	6	lost
(None, None)	(('YDL131W',), ('YDL182W',))	0	3	lost
(None, None)	(('YER025W',), ('YJR007W',))	0	13	lost
(None, None)	(('YFL038C',), ('YOR070C',))	0	2	lost
(None, None)	(('YDL100C',), ('YDL100C',))	0	14	lost
(None, None)	(('YDR531W',), ('YDR531W',))	0	2	lost
(None, None)	(('YBR127C',), ('YEL051W',))	0	3	lost
(None, ('SPBC119.13c',))	(('YEL026W',), ('YOR310C',))	0	5	lost
(None, None)	(('YLR044C',), ('YLR044C',))	0	3	lost
(None, None)	(('YOR089C',), ('YOR370C',))	0	4	lost
(None, None)	(('YJL148W',), ('YPR110C',))	0	3	lost
(None, None)	(('YPR138C',), ('YPR138C',))	0	3	lost
(None, None)	(('YGL210W',), ('YOR070C',))	0	2	lost
(None, None)	(('YER031C',), ('YER136W',))	0	9	lost
(None, None)	(('YDR047W',), ('YDR047W',))	0	2	lost
(None, None)	(('YDL160C',), ('YDR194C',))	0	2	lost
(None, None)	(('YJL001W',), ('YOR362C',))	0	3	lost
(None, None)	(('YOR039W',), ('YOR061W',))	0	13	lost
(None, None)	(('YER136W',), ('YNL093W',))	0	2	lost
(None, None)	(('YHR187W',), ('YPL101W',))	0	6	lost
(None, None)	(('YNL229C',), ('YNL229C',))	0	17	lost
(None, None)	(('YGL019W',), ('YOR061W',))	0	13	lost
(None, None)	(('YAR003W',), ('YBR175W',))	0	9	lost
(None, None)	(('YPR074C',), ('YPR074C',))	0	2	lost
(('SPBC17D1.03c',), None)	(('YCR035C',), ('YNL232W',))	0	11	lost
(None, None)	(('YDR218C',), ('YJR076C',))	0	2	lost
(None, None)	(('YHR007C',), ('YHR007C',))	0	2	lost
(None, None)	(('YAR003W',), ('YLR015W',))	0	10	lost
(None, None)	(('YNL178W',), ('YPL239W',))	0	4	lost
(None, None)	(('YNL113W',), ('YOR341W',))	0	4	lost
(None, None)	(('YAL026C',), ('YCR094W',))	0	9	lost
(None, None)	(('YMR301C',), ('YMR301C',))	0	2	lost
(None, None)	(('YOR133W',), ('YOR133W',))	0	2	lost
(None, None)	(('YBR041W',), ('YOR317W',))	0	2	lost
(None, None)	(('YEL053C',), ('YPR051W',))	0	6	lost
(('SPAC17G6.14c',), None)	(('YDL084W',), ('YDL160C',))	0	2	lost
(None, None)	(('YOR340C',), ('YPR010C',))	0	8	lost
(None, None)	(('YBL064C',), ('YBL064C',))	0	2	lost
(None, None)	(('YDL143W',), ('YIL142W',))	0	2	lost
(None, None)	(('YGR038W',), ('YMR296C',))	0	3	lost
(None, None)	(('YBR154C',), ('YOR341W',))	0	11	lost
(None, None)	(('YBL002W',), ('YBL003C',))	0	5	lost
(None, None)	(('YML092C',), ('YOR362C',))	0	5	lost
(None, None)	(('YNL113W',), ('YPR010C',))	0	5	lost
(None, None)	(('YHR208W',), ('YJR148W',))	0	2	lost
(('SPBC16G5.10',), None)	(('YDL111C',), ('YGR158C',))	0	9	lost
(None, ('SPBC1289.03c',))	(('YER110C',), ('YLR293C',))	0	9	lost
(None, None)	(('YBR283C',), ('YDR086C',))	0	2	lost
(None, None)	(('YEL027W',), ('YEL027W',))	0	3	lost
(('SPAC22F8.08',), None)	(('YIL109C',), ('YLR268W',))	0	3	lost
(None, None)	(('YML056C',), ('YML056C',))	0	3	lost
(None, None)	(('YOL086C',), ('YOL086C',))	0	4	lost
(None, None)	(('YLR170C',), ('YPL259C',))	0	5	lost
(None, None)	(('YMR224C',), ('YMR224C',))	0	6	lost
(None, None)	(('YBL002W',), ('YNL030W',))	0	2	lost
(None, None)	(('YBL045C',), ('YEL024W',))	0	7	lost
(None, None)	(('YCL016C',), ('YHR191C',))	0	3	lost
(None, None)	(('YJL130C',), ('YJR109C',))	0	2	lost
(None, None)	(('YBR154C',), ('YOR116C',))	0	8	lost
(None, None)	(('YDL160C',), ('YNR038W',))	0	2	lost
(None, None)	(('YJL008C',), ('YJL014W',))	0	4	lost
(None, None)	(('YDL064W',), ('YDR510W',))	0	8	lost
(None, None)	(('YHR026W',), ('YOR270C',))	0	3	lost
(None, None)	(('YLR377C',), ('YLR377C',))	0	3	lost
(None, None)	(('YBR009C',), ('YDR224C',))	0	6	lost
(('SPAC630.03',), None)	(('YJR065C',), ('YKL013C',))	0	5	lost
(None, ('SPAC3A12.07',))	(('YHR143W-A',), ('YOL005C',))	0	2	lost
(None, None)	(('YDL160C',), ('YKR059W',))	0	3	lost
(None, ('SPCC584.04',))	(('YBR143C',), ('YDR172W',))	0	18	lost
(None, None)	(('YNL288W',), ('YNL288W',))	0	2	lost
(None, None)	(('YNL259C',), ('YNL259C',))	0	2	lost
(('SPAC17A5.06',), None)	(('YIL143C',), ('YKL028W',))	0	2	lost
(None, None)	(('YFR027W',), ('YFR027W',))	0	7	lost
(('SPCC584.04',), None)	(('YDR172W',), ('YPR080W',))	0	2	lost
(('SPBC11B10.09',), None)	(('YBR160W',), ('YDL155W',))	0	16	lost
(None, None)	(('YFR050C',), ('YJL001W',))	0	5	lost
(None, None)	(('YDR224C',), ('YDR225W',))	0	14	lost
(None, None)	(('YBL037W',), ('YOL062C',))	0	4	lost
(None, None)	(('YDR212W',), ('YJL111W',))	0	2	lost
(None, None)	(('YFR050C',), ('YMR314W',))	0	2	lost
(None, None)	(('YER136W',), ('YFL038C',))	0	11	lost
(('SPAC16E8.11c',), None)	(('YDR311W',), ('YER171W',))	0	9	lost
(None, None)	(('YGR121C',), ('YPR138C',))	0	2	lost
(None, None)	(('YGR262C',), ('YML036W',))	0	8	lost
(None, None)	(('YER012W',), ('YER094C',))	0	11	lost
(None, None)	(('YLR447C',), ('YMR054W',))	0	4	lost
(None, ('SPBC106.16',))	(('YML092C',), ('YOL038W',))	0	5	lost
(None, None)	(('YEL021W',), ('YEL021W',))	0	2	lost
(None, None)	(('YER086W',), ('YER086W',))	0	2	lost
(None, None)	(('YFR010W',), ('YFR010W',))	0	2	lost
(None, None)	(('YJR058C',), ('YOL062C',))	0	2	lost
(None, None)	(('YCR031C',), ('YDL166C',))	0	5	lost
(None, None)	(('YBR010W',), ('YNL030W',))	0	6	lost
(None, None)	(('YBR011C',), ('YBR011C',))	0	2	lost
(('SPCC1442.10c',), None)	(('YIL021W',), ('YOR210W',))	0	11	lost
(None, None)	(('YLR262C',), ('YOR370C',))	0	3	lost
(None, ('SPAC17A5.06',))	(('YER171W',), ('YIL143C',))	0	7	lost
(None, None)	(('YBR257W',), ('YNL221C',))	0	8	lost
(None, None)	(('YJR005W',), ('YJR058C',))	0	3	lost
(None, None)	(('YER095W',), ('YER095W',))	0	14	lost
(None, ('SPAC2F7.14c',))	(('YGR158C',), ('YHR069C',))	0	5	lost
(None, None)	(('YAL005C',), ('YKL073W',))	0	2	lost
(None, None)	(('YNL231C',), ('YNL231C',))	0	4	lost
(None, None)	(('YKR081C',), ('YOR294W',))	0	9	lost
(None, None)	(('YGL091C',), ('YGL091C',))	0	2	lost
(None, None)	(('YDR399W',), ('YDR399W',))	0	3	lost
(None, None)	(('YBL003C',), ('YBL003C',))	0	3	lost
(None, None)	(('YDR510W',), ('YDR510W',))	0	4	lost
(None, None)	(('YDR086C',), ('YLR378C',))	0	12	lost
(None, None)	(('YJL138C',), ('YJL138C',))	0	2	lost
(None, None)	(('YGR163W',), ('YML121W',))	0	9	lost
(None, None)	(('YDR190C',), ('YPL235W',))	0	21	lost
(('SPAC1250.03',), ('SPBC1604.21c',))	(None, ('YKL210W',))	2	0	lost
(None, None)	(('YJR005W',), ('YOL062C',))	0	4	lost
(None, None)	(('YDR477W',), ('YGL115W',))	0	59	lost
(None, None)	(('YBR001C',), ('YDR099W',))	0	2	lost
(None, None)	(('YEL027W',), ('YOR270C',))	0	5	lost
(None, None)	(('YDL192W',), ('YDL192W',))	0	5	lost
(None, None)	(('YBL078C',), ('YHR171W',))	0	13	lost
(None, None)	(('YJL001W',), ('YOR157C',))	0	3	lost
(None, None)	(('YKL013C',), ('YNR035C',))	0	4	lost
(None, None)	(('YKL190W',), ('YLR433C',))	0	6	lost
(None, None)	(('YLR146C',), ('YPR069C',))	0	4	lost
(None, None)	(('YDL047W',), ('YIL153W',))	0	6	lost
(None, ('SPBC336.04',))	(('YBR088C',), ('YDL102W',))	0	2	lost
(None, None)	(('YDL135C',), ('YPR165W',))	0	2	lost
(('SPAC823.15', 'SPBC16H5.07c'), None)	(('YDL134C',), ('YPL152W',))	0	3	lost
(('SPAC11H11.06',), None)	(('YDL029W',), ('YIL062C',))	0	11	lost
(None, None)	(('YHR024C',), ('YLR163C',))	0	5	lost
(None, None)	(('YDL143W',), ('YJL014W',))	0	4	lost
(None, None)	(('YJL024C',), ('YPL195W',))	0	3	lost
(('SPBC4.07c',), None)	(('YDL007W',), ('YGL048C',))	0	3	lost
(None, None)	(('YCR005C',), ('YCR005C',))	0	5	lost
(None, None)	(('YLR270W',), ('YOR173W',))	0	6	lost
(None, None)	(('YMR223W',), ('YPL047W',))	0	11	lost
(None, None)	(('YKR068C',), ('YOR115C',))	0	14	lost
(None, None)	(('YDR062W',), ('YGR038W',))	0	2	lost
(None, None)	(('YBR087W',), ('YOR217W',))	0	3	lost
(None, None)	(('YKL190W',), ('YML057W',))	0	5	lost
(('SPBC3F6.03',), None)	(('YDR353W',), ('YGR209C',))	0	3	lost
(None, None)	(('YGR104C',), ('YHR041C',))	0	13	lost
(None, None)	(('YMR318C',), ('YMR318C',))	0	2	lost
(None, None)	(('YHR143W-A',), ('YOR207C',))	0	2	lost
(('SPAC12G12.14c',), None)	(('YDR267C',), ('YHR122W',))	0	7	lost
(None, None)	(('YNL261W',), ('YPR162C',))	0	8	lost
(None, None)	(('YBL002W',), ('YDR224C',))	0	3	lost
(('SPBC16C6.07c',), None)	(('YKL145W',), ('YOR259C',))	0	9	lost
(None, None)	(('YBR009C',), ('YBR010W',))	0	13	lost
(None, None)	(('YHR187W',), ('YMR312W',))	0	7	lost
(None, None)	(('YNL307C',), ('YNL307C',))	0	2	lost
(None, None)	(('YMR202W',), ('YMR202W',))	0	2	lost
(None, None)	(('YJR068W',), ('YNL290W',))	0	11	lost
(None, None)	(('YLR432W',), ('YLR432W',))	0	4	lost
(None, None)	(('YML024W',), ('YMR116C',))	0	2	lost
(None, None)	(('YBL041W',), ('YMR314W',))	0	2	lost
(None, None)	(('YER136W',), ('YFL005W',))	0	8	lost
(None, None)	(('YNL209W',), ('YPL106C',))	0	5	lost
(('SPAC1250.01',), None)	(('YOR290C',), ('YPR034W',))	0	16	lost
(None, None)	(('YER136W',), ('YKR014C',))	0	5	lost
(None, None)	(('YFL005W',), ('YOR070C',))	0	2	lost
(None, None)	(('YGL155W',), ('YKL019W',))	0	8	lost
(None, None)	(('YGR244C',), ('YOR142W',))	0	3	lost
(None, ('SPBC428.20c',))	(('YHR172W',), ('YNL126W',))	0	19	lost
(None, None)	(('YBL045C',), ('YJL166W',))	0	4	lost
